publication_date,us_ending_stocks,world_ending_stocks,file_name
2023-01-12,567.0,268.39,
2023-02-08,568.0,269.34,
2023-03-08,568.0,267.2,
2023-04-11,598.0,265.05,
2023-05-12,556.0,264.34,
2023-06-09,562.0,270.71,
2023-07-12,592.0,266.53,
2023-08-11,615.0,265.61,
2023-09-12,615.0,258.61,
2023-10-12,670.0,258.13,
2023-11-09,684.0,258.69,
2023-12-08,659.0,258.2,
2024-01-12,648.0,260.03,
2024-02-08,658.0,259.44,
2024-03-08,673.0,258.83,
2024-04-11,698.0,258.27,
2024-05-10,766.0,253.61,
2024-06-12,758.0,252.27,
2024-07-12,856.0,257.24,
2024-08-12,828.0,256.62,
2024-09-12,828.0,257.22,
2024-10-11,812.0,257.72,
2024-11-08,815.0,257.57,
2024-12-10,795.0,257.88,
2025-01-10,798.0,258.82,
2025-02-11,794.0,257.56,
2025-03-11,819.0,260.08,
2025-04-10,846.0,260.7,
2025-05-12,923.0,265.73,
2025-06-12,898.0,262.76,
2025-07-11,890.0,261.52,
2025-08-12,869.0,260.08,
2025-09-12,844.0,264.06,
2025-11-14,901.0,271.43,
2025-12-09,901.0,274.87,wasde1225.xls
2026-01-01,926.0,278.25,wasde0126.xls
